id,title,prompt,reference_image,output_path
RC-001,Ancient Harbor Dawn,"Ancient Roman harbor at sunrise, calm Mediterranean sea, monumental concrete piers, light mist, slow drone push toward the harbor, subtle waves, cinematic documentary realism, 8 seconds, 24 fps, no text.",assets/images/RC-001.png,assets/videos/RC-001.mp4
RC-002,Concrete Under the Sea,"Underwater tracking shot through ancient Roman concrete blocks resting on the seafloor, sun rays penetrating clear blue water, fish passing naturally, archaeological realism, 8 seconds, 24 fps, no text.",assets/images/RC-002.png,assets/videos/RC-002.mp4
RC-003,Self-Healing Micro Crack,"Extreme macro cinematic visualization inside Roman concrete, microscopic crack gradually filled by growing mineral crystals, realistic scientific animation, shallow depth of field, 8 seconds, 24 fps, no text.",assets/images/RC-003.png,assets/videos/RC-003.mp4
RC-004,Pantheon Exterior,"Slow upward gimbal move revealing the Pantheon façade under warm morning light, tourists absent, timeless atmosphere, 8 seconds, 24 fps, no text.",assets/images/RC-004.png,assets/videos/RC-004.mp4
RC-005,Pantheon Oculus Interior,"Interior of the Pantheon, slow tilt toward the oculus, sunlight beam illuminating the coffered concrete dome, dust particles floating naturally, 8 seconds, 24 fps, no text.",assets/images/RC-005.png,assets/videos/RC-005.mp4
RC-006,Roman Builders Mixing Concrete,"Roman builders mixing volcanic ash, lime and aggregate beside a coastal construction site, realistic tools, gentle handheld documentary movement, 8 seconds, 24 fps, no text.",assets/images/RC-006.png,assets/videos/RC-006.mp4
RC-007,Pozzolana Volcanic Ash,"Pozzolana Volcanic Ash, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-007.png,assets/videos/RC-007.mp4
RC-008,Modern Concrete Failure,"Modern Concrete Failure, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-008.png,assets/videos/RC-008.mp4
RC-009,Caesarea Underwater Ruins,"Caesarea Underwater Ruins, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-009.png,assets/videos/RC-009.mp4
RC-010,Laboratory Concrete Sample,"Laboratory Concrete Sample, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-010.png,assets/videos/RC-010.mp4
RC-011,Microscopy Mineral Surface,"Microscopy Mineral Surface, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-011.png,assets/videos/RC-011.mp4
RC-012,Crystal Growth in Pores,"Crystal Growth in Pores, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-012.png,assets/videos/RC-012.mp4
RC-013,Roman Concrete Cross Section,"Roman Concrete Cross Section, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-013.png,assets/videos/RC-013.mp4
RC-014,Roman Harbor Construction,"Roman Harbor Construction, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-014.png,assets/videos/RC-014.mp4
RC-015,Formula Variation,"Formula Variation, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-015.png,assets/videos/RC-015.mp4
RC-016,Cement Factory Emissions,"Cement Factory Emissions, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-016.png,assets/videos/RC-016.mp4
RC-017,Low Carbon Future,"Low Carbon Future, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-017.png,assets/videos/RC-017.mp4
RC-018,MIT Hot Mixing Recreation,"MIT Hot Mixing Recreation, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-018.png,assets/videos/RC-018.mp4
RC-019,Lime Clasts Macro,"Lime Clasts Macro, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-019.png,assets/videos/RC-019.mp4
RC-020,Pantheon Dome Layers,"Pantheon Dome Layers, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-020.png,assets/videos/RC-020.mp4
RC-021,Mediterranean Harbor Network,"Mediterranean Harbor Network, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-021.png,assets/videos/RC-021.mp4
RC-022,Old vs Modern Concrete Contrast,"Old vs Modern Concrete Contrast, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-022.png,assets/videos/RC-022.mp4
RC-023,Pantheon Final Reflection,"Pantheon Final Reflection, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-023.png,assets/videos/RC-023.mp4
RC-024,Future Learning From Ancient Material,"Future Learning From Ancient Material, slow controlled cinematic documentary motion, 8 seconds, 24 fps, no text.",assets/images/RC-024.png,assets/videos/RC-024.mp4
